Additional_Information,Name,Type,Class,Genus,Species,Sample_ID,Owner,Reference,Nitrogen_pct,Carbon_pct,Cellulose_pct,Lignin_pct,Water_Content_pct,LMA_gm2,Leaf_Thickness_mm
TRUE,Baccharis pilularis 2,vegetation,Shrub,Baccharis,pilularis,VH100,UCSB,Meerdink; Roberts; King; Roth; Dennison; Amaral; & Hook (2016). Linking seasonal foliar traits to VSWIR-TIR spectroscopy across California ecosystems. Remote Sensing of Environment; 186; 322-338.,2.06,50.06,10.6,14.78,66.67,94.53,0.2
TRUE,Baccharis pilularis 3,vegetation,Shrub,Baccharis,pilularis,VH101,UCSB,Meerdink; Roberts; King; Roth; Dennison; Amaral; & Hook (2016). Linking seasonal foliar traits to VSWIR-TIR spectroscopy across California ecosystems. Remote Sensing of Environment; 186; 322-338.,2.24,49.77,11.62,15.78,71.35,71.48,0.18
TRUE,Baccharis pilularis 3,vegetation,Shrub,Baccharis,pilularis,VH102,UCSB,Meerdink; Roberts; King; Roth; Dennison; Amaral; & Hook (2016). Linking seasonal foliar traits to VSWIR-TIR spectroscopy across California ecosystems. Remote Sensing of Environment; 186; 322-338.,1.95,48.52,11.44,15.84,68.82,80.79,0.17
TRUE,Umbellularia californica 1,vegetation,Shrub,Umbellularia,californica,VH103,UCSB,Meerdink; Roberts; King; Roth; Dennison; Amaral; & Hook (2016). Linking seasonal foliar traits to VSWIR-TIR spectroscopy across California ecosystems. Remote Sensing of Environment; 186; 322-338.,1.06,49.54,11.47,11.08,52.01,147.76,0.23
TRUE,Umbellularia californica 1,vegetation,Shrub,Umbellularia,californica,VH104,UCSB,Meerdink; Roberts; King; Roth; Dennison; Amaral; & Hook (2016). Linking seasonal foliar traits to VSWIR-TIR spectroscopy across California ecosystems. Remote Sensing of Environment; 186; 322-338.,3.6,49.45,7.45,10.44,75.3,46.66,0.16
TRUE,Umbellularia californica 2,vegetation,Shrub,Umbellularia,californica,VH105,UCSB,Meerdink; Roberts; King; Roth; Dennison; Amaral; & Hook (2016). Linking seasonal foliar traits to VSWIR-TIR spectroscopy across California ecosystems. Remote Sensing of Environment; 186; 322-338.,1.86,49.98,10.35,11.37,50.24,135.71,0.25
TRUE,Umbellularia californica 2,vegetation,Shrub,Umbellularia,californica,VH106,UCSB,Meerdink; Roberts; King; Roth; Dennison; Amaral; & Hook (2016). Linking seasonal foliar traits to VSWIR-TIR spectroscopy across California ecosystems. Remote Sensing of Environment; 186; 322-338.,3.8,50.8,8.28,11,72.89,50.81,0.17
TRUE,Umbellularia californica 3,vegetation,Shrub,Umbellularia,californica,VH107,UCSB,Meerdink; Roberts; King; Roth; Dennison; Amaral; & Hook (2016). Linking seasonal foliar traits to VSWIR-TIR spectroscopy across California ecosystems. Remote Sensing of Environment; 186; 322-338.,1.5,51.57,10.21,11.81,53.22,142.78,0.24
TRUE,Umbellularia californica 3,vegetation,Shrub,Umbellularia,californica,VH108,UCSB,Meerdink; Roberts; King; Roth; Dennison; Amaral; & Hook (2016). Linking seasonal foliar traits to VSWIR-TIR spectroscopy across California ecosystems. Remote Sensing of Environment; 186; 322-338.,3.5,51.56,8.33,12.5,72.21,67.81,0.18
TRUE,Baccharis pilularis 1,vegetation,Shrub,Baccharis,pilularis,VH109,UCSB,Meerdink; Roberts; King; Roth; Dennison; Amaral; & Hook (2016). Linking seasonal foliar traits to VSWIR-TIR spectroscopy across California ecosystems. Remote Sensing of Environment; 186; 322-338.,1.57,51.62,10.11,15.33,50.2,164.95,0.39
TRUE,Baccharis pilularis 1,vegetation,Shrub,Baccharis,pilularis,VH110,UCSB,Meerdink; Roberts; King; Roth; Dennison; Amaral; & Hook (2016). Linking seasonal foliar traits to VSWIR-TIR spectroscopy across California ecosystems. Remote Sensing of Environment; 186; 322-338.,1.74,49.88,11.56,16.37,50.56,172.42,0.45
TRUE,Adenostoma fasciculatum 1,vegetation,Shrub,Adenostoma,fasciculatum,VH111,UCSB,Meerdink; Roberts; King; Roth; Dennison; Amaral; & Hook (2016). Linking seasonal foliar traits to VSWIR-TIR spectroscopy across California ecosystems. Remote Sensing of Environment; 186; 322-338.,0.91,50.43,9.16,13.4,45.41,NA,0.54
TRUE,Adenostoma fasciculatum 1,vegetation,Shrub,Adenostoma,fasciculatum,VH112,UCSB,Meerdink; Roberts; King; Roth; Dennison; Amaral; & Hook (2016). Linking seasonal foliar traits to VSWIR-TIR spectroscopy across California ecosystems. Remote Sensing of Environment; 186; 322-338.,1.26,50.95,8.78,13.22,50.55,NA,0.44
TRUE,Adenostoma fasciculatum 2,vegetation,Shrub,Adenostoma,fasciculatum,VH113,UCSB,Meerdink; Roberts; King; Roth; Dennison; Amaral; & Hook (2016). Linking seasonal foliar traits to VSWIR-TIR spectroscopy across California ecosystems. Remote Sensing of Environment; 186; 322-338.,1.13,50.07,9.54,11.83,45.36,NA,0.62
TRUE,Adenostoma fasciculatum 2,vegetation,Shrub,Adenostoma,fasciculatum,VH114,UCSB,Meerdink; Roberts; King; Roth; Dennison; Amaral; & Hook (2016). Linking seasonal foliar traits to VSWIR-TIR spectroscopy across California ecosystems. Remote Sensing of Environment; 186; 322-338.,1.18,50.99,9.16,12.2,51.54,NA,0.53
TRUE,Adenostoma fasciculatum 3,vegetation,Shrub,Adenostoma,fasciculatum,VH115,UCSB,Meerdink; Roberts; King; Roth; Dennison; Amaral; & Hook (2016). Linking seasonal foliar traits to VSWIR-TIR spectroscopy across California ecosystems. Remote Sensing of Environment; 186; 322-338.,1.09,52.38,9.39,13.59,45.62,NA,0.51
TRUE,Adenostoma fasciculatum 3,vegetation,Shrub,Adenostoma,fasciculatum,VH116,UCSB,Meerdink; Roberts; King; Roth; Dennison; Amaral; & Hook (2016). Linking seasonal foliar traits to VSWIR-TIR spectroscopy across California ecosystems. Remote Sensing of Environment; 186; 322-338.,1.32,51.92,8.39,11.94,47.91,NA,0.56
TRUE,Arctostaphylos glandulosa 1,vegetation,Shrub,Arctostaphylos,glandulosa,VH117,UCSB,Meerdink; Roberts; King; Roth; Dennison; Amaral; & Hook (2016). Linking seasonal foliar traits to VSWIR-TIR spectroscopy across California ecosystems. Remote Sensing of Environment; 186; 322-338.,0.45,52.49,7.07,10.18,43.89,325.73,0.55
TRUE,Arctostaphylos glandulosa 1,vegetation,Shrub,Arctostaphylos,glandulosa,VH118,UCSB,Meerdink; Roberts; King; Roth; Dennison; Amaral; & Hook (2016). Linking seasonal foliar traits to VSWIR-TIR spectroscopy across California ecosystems. Remote Sensing of Environment; 186; 322-338.,1.07,52.53,6.96,14.61,61.65,123.38,0.44
TRUE,Arctostaphylos glandulosa 2,vegetation,Shrub,Arctostaphylos,glandulosa,VH119,UCSB,Meerdink; Roberts; King; Roth; Dennison; Amaral; & Hook (2016). Linking seasonal foliar traits to VSWIR-TIR spectroscopy across California ecosystems. Remote Sensing of Environment; 186; 322-338.,0.69,47.85,6.47,8.04,46.86,325.39,0.65
TRUE,Arctostaphylos glandulosa 2,vegetation,Shrub,Arctostaphylos,glandulosa,VH120,UCSB,Meerdink; Roberts; King; Roth; Dennison; Amaral; & Hook (2016). Linking seasonal foliar traits to VSWIR-TIR spectroscopy across California ecosystems. Remote Sensing of Environment; 186; 322-338.,0.96,54.34,6.82,11.67,61.58,121.57,0.42
TRUE,Arctostaphylos glandulosa 3,vegetation,Shrub,Arctostaphylos,glandulosa,VH121,UCSB,Meerdink; Roberts; King; Roth; Dennison; Amaral; & Hook (2016). Linking seasonal foliar traits to VSWIR-TIR spectroscopy across California ecosystems. Remote Sensing of Environment; 186; 322-338.,0.74,51.94,5.54,8.91,45.94,336.14,0.65
TRUE,Arctostaphylos glandulosa 3,vegetation,Shrub,Arctostaphylos,glandulosa,VH122,UCSB,Meerdink; Roberts; King; Roth; Dennison; Amaral; & Hook (2016). Linking seasonal foliar traits to VSWIR-TIR spectroscopy across California ecosystems. Remote Sensing of Environment; 186; 322-338.,0.95,52.75,6.39,14.52,58.33,120.6,0.34
TRUE,Baccharis pilularis 2,vegetation,Shrub,Baccharis,pilularis,VH123,UCSB,Meerdink; Roberts; King; Roth; Dennison; Amaral; & Hook (2016). Linking seasonal foliar traits to VSWIR-TIR spectroscopy across California ecosystems. Remote Sensing of Environment; 186; 322-338.,1.64,47.32,10.23,12.39,52.05,154.33,0.43
TRUE,Baccharis pilularis 2,vegetation,Shrub,Baccharis,pilularis,VH124,UCSB,Meerdink; Roberts; King; Roth; Dennison; Amaral; & Hook (2016). Linking seasonal foliar traits to VSWIR-TIR spectroscopy across California ecosystems. Remote Sensing of Environment; 186; 322-338.,1.57,52.76,10.57,16.66,55.31,147.75,0.37
TRUE,Baccharis pilularis 3,vegetation,Shrub,Baccharis,pilularis,VH125,UCSB,Meerdink; Roberts; King; Roth; Dennison; Amaral; & Hook (2016). Linking seasonal foliar traits to VSWIR-TIR spectroscopy across California ecosystems. Remote Sensing of Environment; 186; 322-338.,2.61,51.21,10.83,13.61,53.23,156.97,0.34
TRUE,Baccharis pilularis 3,vegetation,Shrub,Baccharis,pilularis,VH126,UCSB,Meerdink; Roberts; King; Roth; Dennison; Amaral; & Hook (2016). Linking seasonal foliar traits to VSWIR-TIR spectroscopy across California ecosystems. Remote Sensing of Environment; 186; 322-338.,3.39,50.18,13.1,16.7,56.87,117.45,0.32
TRUE,Ceanothus spinosus 1,vegetation,Shrub,Ceanothus,spinosus,VH127,UCSB,Meerdink; Roberts; King; Roth; Dennison; Amaral; & Hook (2016). Linking seasonal foliar traits to VSWIR-TIR spectroscopy across California ecosystems. Remote Sensing of Environment; 186; 322-338.,1.69,43.79,5.25,3.42,47.27,111.25,0.17
TRUE,Ceanothus spinosus 1,vegetation,Shrub,Ceanothus,spinosus,VH128,UCSB,Meerdink; Roberts; King; Roth; Dennison; Amaral; & Hook (2016). Linking seasonal foliar traits to VSWIR-TIR spectroscopy across California ecosystems. Remote Sensing of Environment; 186; 322-338.,1.87,49.95,5.05,3.33,49.83,99.48,0.23
TRUE,Ceanothus spinosus 2,vegetation,Shrub,Ceanothus,spinosus,VH129,UCSB,Meerdink; Roberts; King; Roth; Dennison; Amaral; & Hook (2016). Linking seasonal foliar traits to VSWIR-TIR spectroscopy across California ecosystems. Remote Sensing of Environment; 186; 322-338.,1.5,47.92,4.43,3.19,51.16,121.87,0.28
TRUE,Ceanothus spinosus 2,vegetation,Shrub,Ceanothus,spinosus,VH130,UCSB,Meerdink; Roberts; King; Roth; Dennison; Amaral; & Hook (2016). Linking seasonal foliar traits to VSWIR-TIR spectroscopy across California ecosystems. Remote Sensing of Environment; 186; 322-338.,1.59,36.19,5.2,2.7,49.49,93.32,0.37
TRUE,Ceanothus spinosus 3,vegetation,Shrub,Ceanothus,spinosus,VH131,UCSB,Meerdink; Roberts; King; Roth; Dennison; Amaral; & Hook (2016). Linking seasonal foliar traits to VSWIR-TIR spectroscopy across California ecosystems. Remote Sensing of Environment; 186; 322-338.,1.75,39.72,5.36,2.59,50.67,91.73,0.22
TRUE,Ceanothus spinosus 3,vegetation,Shrub,Ceanothus,spinosus,VH132,UCSB,Meerdink; Roberts; King; Roth; Dennison; Amaral; & Hook (2016). Linking seasonal foliar traits to VSWIR-TIR spectroscopy across California ecosystems. Remote Sensing of Environment; 186; 322-338.,1.56,47.55,5.42,2.91,48.85,78.13,0.18
